Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,ANT_SMA_3PIN,1,IPEX_SMA,
"C1, C15",0603,2,4.7uF,
"C10, C18, C19",0603,3,1uF,
"C11, C12, C13, C14, C16, C2, C20, C21, C5, C7, C8, C9",0603,12,100nF,
C17,0603,1,10uF,
C3,0603,1,4.7nF,
"C4, C6",0603,2,15pF,
"D1, D2",0603,2,RED_LED,
D3,0603,1,PWR_LED,
D4,0603,1,GREEN_LED,
F1,0805,1,1A,
HSE1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,
J2,XH_3P_2.54mm_Vertical,1,Wind_Hall,
J4,PinHeader_1x04_P2.54mm_Vertical,1,SPI CONNECTOR,
J5,XH_3P_2.54mm_Vertical,1,Rain_Hall,
J6,XH 2.54 2Pin Female,1,BATT_CONN,
L1,0603,1,27nH,
"R1, R10, R4, R9",0603,4,10k,
R11,0603,1,56R,
"R12, R14, R15, R7",0603,4,DNP,
"R13, R18",0603,2,2k2,
"R16, R6",0603,2,1k,
"R17, R5",0603,2,15k,
R19,0603,1,22R,
R2,0603,1,150R,
"R3, R8",0603,2,100R,
"RV1, RV3",Poten_3PIN_SMD,2,10k,
SW1,SW_SPST_PTS647_Sx38,1,RESET,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,
U2,XCVR_NEO-6M-GPS,1,NEO 6M,
"U3, U6",SOIC-8,2,LM358,
U4,RA-02,1,RA02,
U5,SON100P300X300X80-7N,1,HDC1080,
U7,SOT23_5,1,RT9013,
