Designator,Mid X,Mid Y,Rotation,Layer
ANT1,55.472014,2.513014,270.0,top
C1,30.847907,21.990378,180.0,top
C10,36.371214,33.196214,90.0,top
C11,7.567614,31.875414,270.0,top
C12,12.952414,9.828214,90.0,top
C13,23.315614,49.350614,0.0,top
C14,7.618414,46.709014,270.0,top
C15,38.606414,19.378614,270.0,top
C16,36.879214,19.378614,270.0,top
C17,12.231113,14.210864,0.0,top
C18,12.231113,16.178214,0.0,top
C19,17.602913,21.512214,270.0,top
C2,23.823614,33.145414,90.0,top
C20,12.231113,12.243514,0.0,top
C21,15.520113,21.512214,270.0,top
C3,53.541614,28.015414,90.0,top
C4,37.451907,24.479577,180.0,top
C5,30.847907,20.313977,180.0,top
C6,37.451907,30.372377,0.0,top
C7,21.944014,26.236614,90.0,top
C8,30.834014,18.616614,180.0,top
C9,34.440814,31.926214,90.0,top
D1,28.395614,11.720013,90.0,top
D2,43.102214,2.665414,90.0,top
D3,5.535614,19.886614,270.0,top
D4,31.646814,11.745515,90.0,top
F1,8.966913,12.215814,0.0,top
HSE1,37.451907,27.425977,90.0,top
J2,3.307614,30.150414,270.0,top
J4,15.695614,5.713414,0.0,top
J5,3.358414,44.971014,270.0,top
J6,3.402014,10.996614,180.0,top
L1,53.109814,5.103814,0.0,top
R1,44.042014,27.748414,270.0,top
R10,29.474614,46.556614,0.0,top
R11,31.646814,8.609014,90.0,top
R13,7.567614,26.236614,90.0,top
R16,13.409614,39.851014,0.0,top
R17,10.310814,39.851014,0.0,top
R18,7.618414,40.816214,90.0,top
R19,50.493614,5.916614,90.0,top
R2,28.395614,8.621214,90.0,top
R3,43.102214,5.916614,90.0,top
R4,28.344814,21.055014,270.0,top
R5,10.209214,25.119014,0.0,top
R6,13.308014,25.119014,0.0,top
R8,7.567614,19.926614,270.0,top
R9,24.929013,46.556614,180.0,top
RV1,7.567614,37.057014,270.0,top
RV3,7.618414,51.687414,270.0,top
SW1,48.817214,28.002414,0.0,top
U1,28.370214,28.217814,90.0,top
U2,47.902814,14.802588,90.0,top
U3,11.427614,44.779414,0.0,top
U4,48.004414,44.219814,270.0,top
U5,27.203713,49.350614,180.0,top
U6,11.351414,29.945814,0.0,top
U7,12.522913,19.483313,90.0,top
